Id,position_id,employee_id,start_date,end_date,description
1,1,1,2008-02-01,,hired                                             
2,1,2,2005-02-11,,hired                                             
3,1,3,2020-02-11,,hired                                             
4,1,4,2018-09-10,,hired                                             
5,1,5,2020-02-01,2022-01-27,dismissed                                         
6,1,6,2001-12-01,,hired                                             
7,1,7,2002-02-09,,hired                                             
8,1,8,2018-07-06,,hired                                             
9,1,9,2000-12-01,,hired                                             
10,1,10,2000-05-05,,hired                                             
11,2,21,2020-02-02,2022-01-10,dismissed                                         
12,2,22,2019-07-16,,hired                                             
13,2,23,2009-01-08,,hired                                             
14,2,24,2004-12-19,,hired                                             
15,2,25,2021-04-25,,hired                                             
16,2,26,2005-03-16,,hired                                             
17,2,27,2011-09-25,,hired                                             
18,2,28,2014-04-18,,hired                                             
19,2,29,2019-04-25,,hired                                             
20,2,30,2020-05-12,,hired                                             
21,2,31,2010-04-02,,hired                                             
22,2,32,2004-07-23,,hired                                             
23,2,33,2010-01-15,,hired                                             
24,2,34,2021-06-06,,hired                                             
25,2,35,2008-04-09,,hired                                             
26,2,36,2006-11-02,,hired                                             
27,2,37,2001-10-17,,hired                                             
28,2,38,2011-08-12,,hired                                             
29,2,39,2010-05-25,,hired                                             
30,2,40,2019-07-09,,hired                                             
31,2,41,2016-11-29,,hired                                             
32,2,42,2014-01-23,,hired                                             
33,2,43,2020-04-20,,hired                                             
34,2,44,2008-12-19,,hired                                             
35,2,45,2013-08-11,,hired                                             
36,2,46,2008-02-13,,hired                                             
37,2,47,2012-10-12,,hired                                             
38,2,48,2020-08-31,,hired                                             
39,2,49,2006-10-04,,hired                                             
40,2,50,2008-05-13,2022-01-27,dismissed                                         
41,2,51,2002-10-17,,hired                                             
42,2,52,2006-01-03,,hired                                             
43,2,53,2015-03-30,,hired                                             
44,2,54,2014-06-05,,hired                                             
45,2,55,2006-03-08,,hired                                             
46,2,56,2003-09-11,,hired                                             
47,2,57,2013-01-27,,hired                                             
48,2,58,2010-07-01,,hired                                             
49,2,59,2008-07-15,,hired                                             
50,2,60,2003-03-31,,hired                                             
51,2,61,2001-04-13,,hired                                             
52,2,62,2007-07-12,,hired                                             
53,2,63,2015-12-17,,hired                                             
54,2,64,2006-07-24,,hired                                             
55,2,65,2017-12-04,,hired                                             
56,2,66,2021-07-10,,hired                                             
57,2,67,2007-02-27,,hired                                             
58,2,68,2015-01-05,,hired                                             
59,2,69,2012-01-18,,hired                                             
60,2,70,2010-11-22,,hired                                             
61,2,71,2015-08-27,,hired                                             
62,2,72,2006-06-26,,hired                                             
63,2,73,2008-03-10,,hired                                             
64,2,74,2007-09-08,,hired                                             
65,2,75,2001-04-30,,hired                                             
66,2,76,2009-08-20,,hired                                             
67,2,77,2003-12-19,,hired                                             
68,2,78,2018-10-16,,hired                                             
69,2,79,2002-11-27,,hired                                             
70,2,80,2002-08-11,,hired                                             
71,2,81,2004-08-16,,hired                                             
72,2,82,2011-08-13,,hired                                             
73,2,83,2021-05-02,,hired                                             
74,2,84,2019-05-08,,hired                                             
75,2,85,2005-09-07,,hired                                             
76,2,86,2016-01-06,,hired                                             
77,2,87,2014-10-06,,hired                                             
78,2,88,2016-10-01,,hired                                             
79,2,89,2018-08-24,,hired                                             
80,2,90,2005-02-13,,hired                                             
81,2,91,2011-05-04,,hired                                             
82,2,92,2020-05-25,,hired                                             
83,2,93,2018-04-12,,hired                                             
84,2,94,2005-03-21,,hired                                             
85,2,95,2007-09-27,,hired                                             
86,2,96,2002-11-15,,hired                                             
87,2,97,2001-05-30,,hired                                             
88,2,98,2008-02-04,,hired                                             
89,2,99,2011-07-26,,hired                                             
90,2,100,2004-07-07,,hired                                             
91,2,101,2007-12-20,,hired                                             
92,2,102,2013-05-23,,hired                                             
93,2,103,2005-05-30,,hired                                             
94,2,104,2021-08-16,,hired                                             
95,2,105,2006-02-04,,hired                                             
96,2,106,2010-12-29,,hired                                             
97,2,107,2003-03-19,,hired                                             
98,2,108,2021-02-04,,hired                                             
99,2,109,2010-04-15,,hired                                             
100,2,110,2013-03-12,,hired                                             
101,2,111,2006-11-23,,hired                                             
102,2,112,2001-02-19,,hired                                             
103,2,113,2014-03-29,,hired                                             
104,2,114,2011-10-19,,hired                                             
105,2,115,2013-05-22,,hired                                             
106,2,116,2021-04-12,,hired                                             
107,2,117,2015-10-30,,hired                                             
108,2,118,2020-12-03,,hired                                             
109,2,119,2002-09-25,,hired                                             
110,2,120,2002-10-12,,hired                                             
111,2,121,2002-06-07,,hired                                             
112,2,122,2005-09-26,,hired                                             
113,2,123,2018-12-05,,hired                                             
114,2,124,2019-02-06,,hired                                             
115,2,125,2003-08-15,,hired                                             
116,2,126,2016-01-22,,hired                                             
117,2,127,2007-12-16,,hired                                             
118,2,128,2021-09-17,,hired                                             
119,2,129,2006-11-24,,hired                                             
120,2,130,2004-04-24,,hired                                             
121,2,131,2014-08-18,,hired                                             
122,2,132,2004-10-06,,hired                                             
123,2,133,2008-01-29,,hired                                             
124,2,134,2007-08-20,,hired                                             
125,2,135,2014-01-12,,hired                                             
126,2,136,2004-04-17,,hired                                             
127,2,137,2016-06-03,,hired                                             
128,2,138,2014-11-23,,hired                                             
129,2,139,2021-01-27,,hired                                             
130,2,140,2014-05-02,,hired                                             
131,2,141,2003-12-09,,hired                                             
132,2,142,2021-01-22,,hired                                             
133,2,143,2011-08-02,,hired                                             
134,2,144,2015-03-11,,hired                                             
135,2,145,2017-06-02,,hired                                             
136,2,146,2013-05-14,,hired                                             
137,2,147,2010-03-14,,hired                                             
138,2,148,2011-03-04,,hired                                             
139,2,149,2012-11-03,,hired                                             
140,2,150,2020-06-02,,hired                                             
141,2,151,2005-06-05,,hired                                             
142,2,152,2021-07-03,,hired                                             
143,2,153,2003-03-02,,hired                                             
144,2,154,2014-06-14,,hired                                             
145,2,155,2005-11-28,,hired                                             
146,2,156,2021-03-17,,hired                                             
147,2,157,2002-06-30,,hired                                             
148,2,158,2011-08-18,,hired                                             
149,2,159,2016-04-03,,hired                                             
150,2,160,2008-04-16,,hired                                             
151,2,161,2014-09-11,,hired                                             
152,2,162,2005-11-28,,hired                                             
153,2,163,2002-07-04,,hired                                             
154,2,164,2004-02-17,,hired                                             
155,2,165,2004-10-17,,hired                                             
156,2,166,2008-08-21,,hired                                             
157,2,167,2009-01-03,,hired                                             
158,2,168,2013-09-23,,hired                                             
159,2,169,2009-05-09,,hired                                             
160,2,170,2003-12-16,,hired                                             
161,2,171,2014-09-30,,hired                                             
162,2,172,2002-04-15,,hired                                             
163,2,173,2018-11-18,,hired                                             
164,2,174,2017-09-29,,hired                                             
165,2,175,2003-03-02,,hired                                             
166,2,176,2015-01-22,,hired                                             
167,2,177,2008-04-22,,hired                                             
168,2,178,2009-12-13,,hired                                             
169,2,179,2018-12-19,,hired                                             
170,2,180,2009-01-02,,hired                                             
171,2,181,2010-12-30,,hired                                             
172,2,182,2007-07-05,,hired                                             
173,2,183,2006-12-09,,hired                                             
174,2,184,2012-07-22,,hired                                             
175,2,185,2011-01-07,,hired                                             
176,2,186,2012-12-01,,hired                                             
177,2,187,2014-04-06,,hired                                             
178,2,188,2013-12-04,,hired                                             
179,2,189,2007-11-05,,hired                                             
180,2,190,2005-04-05,,hired                                             
181,2,191,2015-11-03,,hired                                             
182,2,192,2009-10-30,,hired                                             
183,2,193,2001-11-26,,hired                                             
184,2,194,2005-10-14,,hired                                             
185,2,195,2015-03-01,,hired                                             
186,2,196,2011-02-01,,hired                                             
187,2,197,2015-05-03,,hired                                             
188,2,198,2012-01-30,,hired                                             
189,2,199,2020-09-17,,hired                                             
190,2,200,2020-03-22,,hired                                             
191,2,201,2005-11-17,,hired                                             
192,2,202,2017-06-13,,hired                                             
193,2,203,2021-04-23,,hired                                             
194,2,204,2011-01-19,,hired                                             
195,2,205,2006-09-13,,hired                                             
196,2,206,2001-07-28,,hired                                             
197,2,207,2015-12-06,,hired                                             
198,2,208,2002-08-31,,hired                                             
199,2,209,2006-05-26,,hired                                             
200,2,210,2002-02-17,,hired                                             
201,2,211,2016-07-12,,hired                                             
202,2,212,2017-08-28,,hired                                             
203,2,213,2010-12-15,,hired                                             
204,2,214,2020-01-21,,hired                                             
205,2,215,2008-10-10,,hired                                             
206,2,216,2013-07-21,,hired                                             
207,2,217,2008-05-27,,hired                                             
208,2,218,2008-09-07,,hired                                             
209,2,219,2004-10-10,,hired                                             
210,2,220,2007-10-16,,hired                                             
211,2,221,2017-08-25,,hired                                             
212,2,222,2019-11-11,,hired                                             
213,2,223,2020-05-12,,hired                                             
214,2,224,2013-12-30,,hired                                             
215,2,225,2005-03-23,,hired                                             
216,2,226,2012-03-12,,hired                                             
217,2,227,2001-01-22,,hired                                             
218,2,228,2003-10-18,,hired                                             
219,2,229,2014-02-24,,hired                                             
220,2,230,2010-06-26,,hired                                             
221,2,231,2020-10-31,,hired                                             
222,2,232,2015-07-19,,hired                                             
223,2,233,2013-04-06,,hired                                             
224,2,234,2018-04-12,,hired                                             
225,2,235,2001-08-01,,hired                                             
226,2,236,2009-09-22,,hired                                             
227,2,237,2014-04-15,,hired                                             
228,2,238,2016-08-21,,hired                                             
229,2,239,2004-01-21,,hired                                             
230,2,240,2009-10-25,,hired                                             
231,2,241,2010-08-30,,hired                                             
232,2,242,2004-07-04,,hired                                             
233,2,243,2004-03-25,,hired                                             
234,2,244,2015-07-24,,hired                                             
235,2,245,2014-09-17,,hired                                             
236,2,246,2014-12-09,,hired                                             
237,2,247,2002-08-02,,hired                                             
238,2,248,2012-02-05,,hired                                             
239,2,249,2003-10-19,,hired                                             
240,2,250,2013-03-11,,hired                                             
241,2,251,2002-06-01,,hired                                             
242,2,252,2006-07-20,,hired                                             
243,2,253,2010-08-20,,hired                                             
244,2,254,2020-05-04,,hired                                             
245,2,255,2020-12-04,,hired                                             
246,2,256,2009-08-05,,hired                                             
247,2,257,2017-07-12,,hired                                             
248,2,258,2010-03-10,,hired                                             
249,2,259,2007-09-14,,hired                                             
250,2,260,2008-08-06,,hired                                             
251,2,261,2001-03-02,,hired                                             
252,2,262,2008-09-24,,hired                                             
253,2,263,2018-09-15,,hired                                             
254,2,264,2017-07-06,,hired                                             
255,2,265,2015-06-02,,hired                                             
256,2,266,2005-01-31,,hired                                             
257,2,267,2008-12-21,,hired                                             
258,2,268,2010-11-20,,hired                                             
259,2,269,2009-01-05,,hired                                             
260,2,270,2005-11-14,,hired                                             
261,2,271,2020-06-20,,hired                                             
262,2,272,2006-03-10,,hired                                             
263,2,273,2001-05-04,,hired                                             
264,2,274,2011-08-24,,hired                                             
265,2,275,2016-07-30,,hired                                             
266,2,276,2012-07-27,,hired                                             
267,2,277,2011-02-18,,hired                                             
268,2,278,2013-11-29,,hired                                             
269,2,279,2012-10-10,,hired                                             
270,2,280,2020-09-21,,hired                                             
271,2,281,2004-01-10,,hired                                             
272,2,282,2015-06-02,,hired                                             
273,2,283,2012-04-28,,hired                                             
