"id","station_name","country_id","region_id","address","phone"
"1","Львів Пас","1","12","91415 Anzinger Parkway","(594) 5715254"
"2","Підзамче","1","12","67 Elka Lane","(254) 2864470"
"3","Красне","1","12","57 Village Pass","(471) 6310226"
"4","Злочів","1","12","85 Steensland Park","(594) 7982462"
"5","Тернопіль-Пас.","1","18","69 Burrows Drive","(276) 6286968"
"6","Волочиськ","1","21","5849 7th Pass","(578) 4157855"
"7","Хмельницький","1","21","6410 Village Hill","(407) 9279122"
"8","Деражня","1","21","108 North Park","(299) 4164218"
"9","Жмеринка-Пас.","1","1","4 Center Parkway","(377) 9880861"
"10","Вапнярка","1","1","9 Dahle Way","(506) 4012686"
"11","Кирнасівка","1","1","53 Lakewood Way","(570) 8544809"
"12","Ладижин","1","1","5 High Crossing Circle","(637) 8810456"
"13","Губник","1","1","5 Anniversary Avenue","(117) 8139221"
"14","Зятківці","1","1","72 Magdeline Center","(271) 7441777"
"15","Христинівка","1","1","5184 Main Point","(472) 9254884"
"16","Поташ","1","22","153 Mitchell Point","(938) 7318002"
"17","Звенигородка","1","22","7730 Oxford Alley","(857) 8722518"
"18","Багачеве","1","14","33 Tony Court","(500) 1395124"
"19","Шпола","1","22","1209 Muir Crossing","(836) 3518087"
"20","Цвіткове","1","22","164 Kropf Plaza","(210) 4858856"
"21","Ім. Тараса Шевченка","1","22","4756 Rowland Court","(937) 1570378"
"22","Фундукліївка","1","10","97 Sunnyside Point","(292) 1752126"
"23","Знамянка-Пас.","1","10","35 Bonner Court","(930) 5738267"
"24","Олександрія","1","10","4 Arizona Place","(355) 8696361"
"25","Пятихатки-Пас.","1","3","9 Pawling Park","(646) 2507366"
"26","Верхівцеве","1","3","1116 Fairfield Lane","(354) 4193995"
"27","Камянське-Пасажирське","1","3","5411 Mccormick Road","(836) 4510913"
"28","Дніпро-Головний","1","3","461 Hauk Pass","(297) 9280397"
"29","Синельникове-1","1","3","5 Tony Point","(712) 1697588"
"30","Запоріжжя-1","1","7","26332 Blue Bill Park Parkway","(992) 3306777"
"31","Молочанськ","1","7","851 Anderson Terrace","(347) 3257905"
"32","Великий Токмак","1","7","18251 Nobel Road","(221) 1341729"
"33","Верхній Токмак-2","1","7","485 Luster Circle","(770) 5232496"
"34","Комиш-Зоря","1","7","91 Del Mar Point","(220) 2330781"
"35","Розівка","1","7","13397 Graedel Street","(221) 1055372"
"36","Волноваха","1","4","2 Eliot Road","(808) 3679029"
"37","Маріуполь","1","4","44897 Riverside Way","(786) 3851520"
"38","Чернівці","1","23","7523 Atwood Street","(202) 9573121"
"39","Снятин","1","8","80850 Rusk Parkway","(181) 2402989"
"40","Заболотів","1","8","24583 Waubesa Place","(804) 8090885"
"41","Коломия","1","8","068 Gina Lane","(118) 3557786"
"42","Івано-Франківськ","1","8","5 Westend Junction","(597) 5751383"
"43","Галич","1","8","29 Arkansas Way","(668) 8471604"
"44","Ходорів","1","12","1942 Elka Alley","(795) 2885210"
"45","Крижопіль","1","1","597 Dunning Street","(167) 1524480"
"46","Кодима","1","14","826 Lighthouse Bay Drive","(501) 7611882"
"47","Подільськ-Жм.","1","14","9 Golf View Trail","(187) 4359029"
"48","Затишшя","1","14","96847 Anderson Terrace","(322) 4582122"
"49","Роздільна-1","1","14","76137 Buena Vista Crossing","(272) 4589620"
"50","Одеса-Головна","1","14","57736 Dakota Park","(911) 9388165"
"51","Кароліно-Бугаз","1","14","08 Buhler Lane","(807) 4656581"
"52","Бугаз","1","14","84678 Gulseth Hill","(933) 9634977"
"53","Білгород-Дністровський","1","14","2217 Texas Avenue","(329) 5420700"
"54","Ковель","1","2","02 Spohn Road","(340) 1826965"
"55","Голоби","1","2","53 Pierstorff Plaza","(809) 7998367"
"56","Рожище","1","2","1706 Onsgard Pass","(450) 6245310"
"57","Ківерці","1","2","16601 Heath Drive","(832) 9585108"
"58","Луцьк","1","2","39950 Summer Ridge Crossing","(224) 9859743"
"59","Сенкевичівка","1","2","6 Buell Hill","(212) 8351418"
"60","Горохів","1","2","7545 Claremont Court","(715) 8198179"
"61","Стоянів","1","12","71750 Pleasure Center","(727) 1729830"
"62","Радехів","1","12","5796 Johnson Road","(307) 6284546"
"63","Камянка-Бузька","1","12","42536 Hovde Crossing","(671) 5363143"
"64","Київ-Пас.","1","9","8 Dorton Point","(489) 1720333"
"65","Фастів-1","1","9","34202 Doe Crossing Lane","(978) 7606470"
"66","Козятин-1","1","1","0032 Eliot Avenue","(385) 5836843"
"67","Вінниця","1","1","0 Fuller Alley","(660) 2543063"
"68","Яремче","1","8","8906 Eagle Crest Drive","(274) 6795539"
"69","Татарів","1","8","14 Morningstar Street","(955) 1347362"
"70","Ворохта","1","8","71197 Corscot Place","(615) 5693857"
"71","Вороненко","1","8","2 Dapin Point","(971) 1218440"
"72","Лазещина","1","6","88 Gina Point","(731) 8469762"
"73","Ясіня","1","6","3430 Hallows Trail","(858) 1532097"
"74","Кваси","1","6","8612 Nelson Drive","(892) 7406427"
"75","Рахів","1","6","2 Acker Junction","(780) 2769307"
"76","Калинівка-1","1","1","53 Dixon Court","(485) 2409233"
"77","Гнівань","1","1","93 Mosinee Road","(252) 8672581"
"78","Новоград-Волинський-1","1","5","5 Buhler Road","(479) 2595739"
"79","Коростень","1","5","9 5th Circle","(940) 7335490"
"80","Калуш","1","8","9363 Corben Junction","(538) 3960764"
"81","Рожнятів","1","8","26 Brickson Park Plaza","(192) 9658991"
"82","Долина","1","8","05 Larry Crossing","(842) 9554513"
"83","Болехів","1","8","9288 Eliot Hill","(879) 9850962"
"84","Моршин","1","12","836 Valley Edge Pass","(175) 4499381"
"85","Стрий","1","12","11 Grover Drive","(857) 2690167"
"86","Броди","1","12","6855 La Follette Junction","(664) 8099200"
"87","Кривин","1","21","087 Straubel Pass","(178) 6921912"
"88","Славута-1","1","21","847 Bluestem Plaza","(240) 1134146"
"89","Шепетівка","1","21","1071 Union Hill","(414) 3458901"
"90","Святошин","1","9","9865 Westport Terrace","(224) 8636603"
"91","Дарниця","1","9","9 Bayside Point","(658) 2127862"
"92","Бровари","1","9","0826 Burning Wood Pass","(143) 3229278"
"93","Ніжин","1","24","67 Mesta Pass","(175) 3456009"
"94","Чернігів","1","24","557 Ryan Park","(918) 4017372"
"95","Микуличин","1","8","86 Old Shore Point","(919) 5194362"
"96","Делятин","1","8","5 Mccormick Drive","(263) 6257379"
"97","Бурштин","1","8","985 Union Parkway","(289) 7879927"
"98","Підволочиськ","1","18","730 Park Meadow Junction","(468) 3652103"
"99","Біла Церква","1","9","1968 Porter Hill","(359) 9799226"
"100","Миронівка","1","9","74 Dwight Point","(521) 7462776"
"101","Корсунь","1","22","0 Fulton Circle","(272) 6423345"
"102","Городище","1","22","40292 Sheridan Court","(292) 8452567"
"103","Перемишль Головний","4","1000","84950 Dahle Circle","(464) 3909957"
"104","Ужгород","1","6","003 Eastwood Road","(845) 4303144"
"105","Батьово","1","6","271 Hudson Crossing","(903) 1599724"
"106","Мукачево","1","6","0 Carioca Way","(863) 8582026"
"107","Карпати","1","6","4 Pankratz Circle","(481) 3266934"
"108","Свалява","1","6","6 Maryland Way","(614) 2551234"
"109","Воловець","1","6","38 Welch Hill","(416) 8199642"
"110","Лавочне","1","12","49 Surrey Street","(210) 4912649"
"111","Славське","1","12","282 Lawn Lane","(797) 7182782"
"112","Сколе","1","12","8 Wayridge Avenue","(533) 7839893"
"113","Чоп","1","6","5442 Shoshone Point","(651) 4837679"
"114","Перечин","1","6","731 Moulton Alley","(398) 8720196"
"115","Великий Березний","1","6","8 Fordem Junction","(381) 4115834"
"116","Сянки","1","12","276 Lunder Point","(471) 7191372"
"117","Турка","1","12","894 Continental Street","(505) 8728477"
"118","Самбір","1","12","25489 Karstens Parkway","(567) 3454516"
"119","Радивилів","1","16","60278 Sugar Hill","(102) 2576080"
"120","Дубно","1","16","11020 Mallory Pass","(190) 3826548"
"121","Здолбунів-Пас.","1","16","70 Walton Street","(899) 9607651"
"122","Острог","1","16","3 Dwight Court","(593) 3850421"
"123","Полонне","1","21","6 Thompson Point","(195) 9084744"
"124","Печанівка","1","5","39515 Algoma Pass","(933) 4604937"
"125","Чуднів-Волинський","1","5","5045 Chinook Place","(277) 9569478"
"126","Бердичів","1","5","991 Hallows Road","(228) 9836368"
"127","Косини","1","6","20 Monument Circle","(403) 3645536"
"128","Берегове","1","6","2 Macpherson Parkway","(828) 6900702"
"129","Виноградів-Закарпатський","1","6","91939 Upham Terrace","(947) 3786654"
"130","Королеве","1","6","6135 Jackson Junction","(938) 8953633"
"131","Хуст","1","6","7 Pond Center","(331) 9662465"
"132","Буштино","1","6","429 Anthes Junction","(733) 4796775"
"133","Тячів","1","6","0342 Eggendart Trail","(933) 1969762"
"134","Тересва","1","6","47178 Hanover Park","(219) 5228757"
"135","Солотвино-Лікарня","1","6","9552 Melby Plaza","(783) 7255542"
"136","Солотвино-1","1","6","309 Grim Trail","(369) 4267566"
"137","Радулин","1","5","07 Sunbrook Way","(160) 6764435"
"138","Яблунець","1","5","37567 Lotheville Terrace","(444) 1074595"
"139","Малин","1","5","170 Green Plaza","(343) 9351463"
"140","Бахмач-Пас.","1","24","93348 Commercial Park","(873) 4005694"
"141","Конотоп","1","17","7035 Muir Avenue","(431) 3271216"
"142","Путивль","1","17","15 Merrick Way","(666) 5671561"
"143","Ворожба-Пас.","1","17","25 Artisan Way","(218) 9664967"
"144","Білопілля","1","17","8 Calypso Drive","(548) 2905877"
"145","Суми","1","17","72 Di Loreto Hill","(441) 7843860"
"146","Смородине","1","17","3 Vahlen Crossing","(615) 7033849"
"147","Кириківка","1","17","29 Merrick Park","(715) 5521405"
"148","Богодухів","1","19","58 Miller Center","(577) 6438674"
"149","Люботин","1","19","8644 Schurz Point","(994) 4850656"
"150","Харків-Пас.","1","19","5 Erie Lane","(322) 9622796"
"151","Чугуїв","1","19","4 Laurel Center","(461) 7750576"
"152","Шевченкове-Південне","1","19","5 Prairieview Pass","(611) 5974552"
"153","Купянськ-Вузловий","1","19","94 Oneill Drive","(262) 6209957"
"154","Сватово","1","11","52545 Grayhawk Point","(792) 5998213"
"155","Кабанне","1","11","136 Maryland Avenue","(987) 2793657"
"156","Кремінне","1","11","89 Larry Alley","(847) 2037867"
"157","Рубіжне","1","11","7 Forest Run Terrace","(606) 7212259"
"158","Лисичанськ","1","11","44703 Corben Park","(374) 5443624"
